Samples	CNV48A
PD53330c	0.00E+00
PD53332d	0.00E+00
PD53332e	0.00E+00
PD53333f	0.00E+00
PD53334a	0.00E+00
PD53337c	0.00E+00
PD53338a	0.00E+00
PD53342a	0.00E+00
PD53343h	0.00E+00
PD53343i	0.00E+00
PD53345a	0.00E+00
PD53347c	0.00E+00
PD53348a	0.00E+00
PD53349d	0.00E+00
PD53349e	0.00E+00
PD53350d	0.00E+00
PD53350e	0.00E+00
PD53351a	0.00E+00
PD53352d	0.00E+00
PD53352e	0.00E+00
PD53354a	0.00E+00
PD53355c	0.00E+00
PD53357c	0.00E+00
PD53357d	0.00E+00
PD53357e	0.00E+00
PD53358a	0.00E+00
PD53359c	0.00E+00
PD53361a	0.00E+00
PD53362a	0.00E+00
PD53364c	0.00E+00
PD53365a	0.00E+00
PD53368a	0.00E+00
PD53369a	0.00E+00
